RPM,25,35,40,50,60,80,100,120,140,160,180,200,240,CONSULT_LIMIT
10,0.15,0.22,0.45,0.75,1.5,3.0,4.5,7.5,11.2,14.9,22.4,29.8,44.7,NA
20,0.22,0.45,0.75,1.1,2.2,4.5,7.5,11.2,14.9,22.4,37.3,44.7,74.6,NA
50,0.45,0.75,1.5,2.2,4.5,7.5,14.9,22.4,37.3,44.7,74.6,90,149,NA
100,1.1,1.5,3.0,4.5,7.5,14.9,22.4,37.3,44.7,74.6,90,112,149,NA
200,1.5,2.2,4.5,7.5,14.9,29.8,44.7,74.6,90,149,180,224,373,NA
400,3.0,3.7,7.5,11.2,22.4,44.7,74.6,112,149,224,298,373,746,746
500,3.7,4.5,9.0,14.9,22.4,44.7,74.6,112,149,224,298,373,522,600
800,5.0,6.0,12.0,18.0,29.8,59.7,90.0,149.0,180.0,298.0,373.0,447.0,746.0,373
1000,6.0,7.5,14.9,22.4,37.3,74.6,112,149,224,298,373,447,746,224
1750,NA,NA,14.9,22.4,37.3,74.6,90,112,149,224,224,298,373,90
2000,NA,NA,14.9,22.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,74.6
3000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.8
5000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.2
10000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.5