Seccion;a (mm);s (mm);Deltai (mm);Deltae(mm);Peso (gr/m);Diametro Min Polea Pequeña (mm)
Z;10;6;25;13;60;60
A;13;8;33;17;100;90
B;17;11;43;26;175;125
C;22;14;62;26;300;180
D;32;19;76;43;610;300
E;40;25;105;52;930;500
ZX;10;6;25;13;60;63
AX;13;8;33;17;114;71
BX;17;11;43;26;162;90
CX;22;14;62;26;297;140
SPZ;9,7;8;39;13;70;56
SPA;12,7;10;47;18;120;90
SPB;16,3;13;61;22;195;140
SPC;22;18;86;30;365;224
XPZ;9,7;8;39;13;73;56
XPA;12,7;10;47;18;122;80
XPB;16,3;13;61;22;200;112
XPC;22;18;86;30;355;180
3V;9;8;31;20;90;63
5V;15;13;54;27;210;140
8V;25;23;103;41;620;315
3VX;9;8;31;20;90;56
5VX;15;13;54;27;210;112
20;20;12,5;48;31;240;160
25;25;16;61;39;400;250
45;45;20;91;35;1200;280
50;50;20;85;41;1365;320