Perfil;RPM;60;63;67;71;75;80;85;90;95;100;106;112;118;125;132;140;150;160;170;180;190;200;212;220;224;236;250;265;280;300;315;335;355;375;400;425;450;500;560;630;710;800;900;1000;1120;1250
Z;100;0.10;0.10;0.12;0.13;0.14;0.15;0.17;0.18;0.20;0.21;0.23;0.25;0.26;0.28;0.30;0.32;0.35;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Z;200;0.17;0.19;0.21;0.23;0.25;0.28;0.31;0.34;0.36;0.39;0.42;0.45;0.49;0.52;0.56;0.60;0.65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Z;500;0.36;0.40;0.45;0.50;0.56;0.62;0.68;0.74;0.81;0.87;0.94;1.01;1.09;1.17;1.25;1.35;1.47;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Z;700;0.48;0.53;0.60;0.67;0.74;0.82;0.91;0.99;1.07;1.16;1.26;1.36;1.45;1.57;1.68;1.81;1.97;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Z;900;0.58;0.65;0.73;0.82;0.91;1.01;1.12;1.22;1.33;1.43;1.56;1.68;1.80;1.94;2.09;2.25;2.44;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Z;1000;0.63;0.70;0.80;0.89;0.99;1.10;1.22;1.34;1.45;1.57;1.70;1.84;1.97;2.13;2.28;2.46;2.67;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Z;1400;0.81;0.91;1.04;1.17;1.29;1.45;1.61;1.76;1.92;2.07;2.25;2.43;2.61;2.82;3.02;3.25;3.54;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Z;1500;0.85;0.96;1.10;1.23;1.37;1.53;1.70;1.86;2.03;2.19;2.38;2.57;2.76;2.98;3.20;3.44;3.74;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Z;1700;0.94;1.05;1.21;1.36;1.51;1.69;1.88;2.06;2.24;2.42;2.64;2.85;3.06;3.30;3.54;3.80;4.13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Z;1800;0.98;1.10;1.26;1.42;1.58;1.77;1.97;2.16;2.35;2.54;2.76;2.98;3.20;3.45;3.70;3.98;4.32;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Z;2500;1.23;1.39;1.60;1.81;2.02;2.27;2.53;2.78;3.02;3.27;3.55;3.83;4.11;4.43;4.74;5.08;5.50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Z;2900;1.35;1.53;1.77;2.01;2.24;2.53;2.81;3.09;3.37;3.63;3.95;4.26;4.56;4.91;5.24;5.61;6.05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Z;3000;1.38;1.57;1.81;2.06;2.30;2.59;2.88;3.17;3.45;3.72;4.04;4.36;4.67;5.02;5.35;5.73;6.17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Z;3500;1.51;1.72;2.00;2.27;2.54;2.87;3.19;3.51;3.82;4.12;4.47;4.81;5.14;5.51;5.86;6.24;6.68;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Z;3600;1.54;1.75;2.04;2.31;2.59;2.92;3.25;3.57;3.88;4.19;4.55;4.89;5.22;5.59;5.94;6.32;6.76;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Z;4000;1.63;1.86;2.16;2.46;2.76;3.12;3.47;3.80;4.13;4.45;4.82;5.18;5.51;5.89;6.23;6.60;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Z;5000;1.79;2.06;2.42;2.76;3.09;3.49;3.87;4.24;4.59;4.92;5.29;5.64;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Z;6000;1.88;2.17;2.56;2.93;3.28;3.70;4.09;4.45;4.78;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A;100;;;;;;;;0.23;0.26;0.28;0.30;0.33;0.36;0.39;0.42;0.45;0.49;0.54;0.58;0.62;0.66;0.75;0.79;;;;;;;;;;;;;;;;;;;;;;;
A;200;;;;;;;;0.42;0.46;0.50;0.55;0.60;0.65;0.71;0.77;0.83;0.91;0.99;1.07;1.15;1.23;1.40;1.46;;;;;;;;;;;;;;;;;;;;;;;
A;500;;;;;;;;0.90;1.00;1.09;1.21;1.32;1.44;1.57;1.70;1.84;2.03;2.21;2.39;2.57;2.75;3.14;3.28;;;;;;;;;;;;;;;;;;;;;;;
A;700;;;;;;;;1.19;1.32;1.44;1.60;1.75;1.90;2.08;2.26;2.46;2.70;2.95;3.19;3.43;3.67;4.19;4.38;;;;;;;;;;;;;;;;;;;;;;;
A;900;;;;;;;;1.45;1.61;1.77;1.96;2.16;2.35;2.57;2.79;3.03;3.34;3.64;3.95;4.24;4.54;5.18;5.41;;;;;;;;;;;;;;;;;;;;;;;
A;1000;;;;;;;;1.57;1.75;1.93;2.14;2.35;2.56;2.80;3.04;3.31;3.65;3.98;4.31;4.63;4.95;5.65;5.90;;;;;;;;;;;;;;;;;;;;;;;
A;1400;;;;;;;;2.03;2.27;2.51;2.79;3.07;3.35;3.67;3.99;4.35;4.79;5.22;5.65;6.08;6.49;7.38;7.70;;;;;;;;;;;;;;;;;;;;;;;
A;1500;;;;;;;;2.14;2.39;2.65;2.95;3.24;3.54;3.87;4.21;4.59;5.06;5.51;5.97;6.41;6.84;7.77;8.10;;;;;;;;;;;;;;;;;;;;;;;
A;1700;;;;;;;;2.35;2.63;2.91;3.24;3.57;3.89;4.27;4.64;5.05;5.57;6.07;6.56;7.04;7.51;8.51;8.86;;;;;;;;;;;;;;;;;;;;;;;
A;1800;;;;;;;;2.44;2.74;3.03;3.38;3.72;4.06;4.45;4.84;5.28;5.81;6.33;6.84;7.34;7.83;8.85;9.21;;;;;;;;;;;;;;;;;;;;;;;
A;2500;;;;;;;;3.05;3.44;3.82;4.26;4.70;5.13;5.62;6.10;6.64;7.29;7.91;8.51;9.08;9.63;10.73;11.09;;;;;;;;;;;;;;;;;;;;;;;
A;2900;;;;;;;;3.34;3.77;4.19;4.68;5.16;5.63;6.17;6.68;7.26;7.94;8.59;9.20;9.78;10.31;11.33;11.65;;;;;;;;;;;;;;;;;;;;;;;
A;3000;;;;;;;;3.41;3.84;4.27;4.77;5.27;5.74;6.29;6.81;7.39;8.08;8.73;9.34;9.91;10.43;11.42;11.72;;;;;;;;;;;;;;;;;;;;;;;
A;3500;;;;;;;;3.69;4.17;4.64;5.18;5.71;6.23;6.80;7.35;7.94;8.63;9.26;9.84;10.34;10.78;;;;;;;;;;;;;;;;;;;;;;;;;
A;3600;;;;;;;;3.74;4.23;4.70;5.25;5.79;6.30;6.88;7.43;8.02;8.71;9.33;9.89;10.38;;;;;;;;;;;;;;;;;;;;;;;;;;
A;4000;;;;;;;;3.90;4.41;4.91;5.49;6.04;6.56;7.14;7.69;8.26;8.91;9.47;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A;5000;;;;;;;;4.08;4.63;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
B;100;;;;;;;;;;;;;;0.48;0.53;0.58;0.64;0.71;0.77;0.84;0.90;0.96;1.04;;1.11;1.19;1.27;;1.46;;1.67;;;;;;;;;;;;;;;
B;200;;;;;;;;;;;;;;0.87;0.95;1.05;1.17;1.30;1.42;1.54;1.66;1.77;1.92;;2.06;2.20;2.36;;2.70;;3.10;;;;;;;;;;;;;;;
B;500;;;;;;;;;;;;;;1.86;2.06;2.28;2.56;2.83;3.11;3.38;3.65;3.92;4.24;;4.56;4.88;5.24;;6.02;;6.91;;;;;;;;;;;;;;;
B;700;;;;;;;;;;;;;;2.44;2.70;3.00;3.38;3.75;4.12;4.48;4.85;5.21;5.64;;6.06;6.48;6.97;;7.99;;9.15;;;;;;;;;;;;;;;
B;900;;;;;;;;;;;;;;2.97;3.30;3.67;4.14;4.60;5.06;5.51;5.96;6.40;6.93;;7.45;7.96;8.55;;9.79;;11.19;;;;;;;;;;;;;;;
B;1000;;;;;;;;;;;;;;3.22;3.58;3.99;4.50;5.00;5.50;5.99;6.48;6.96;7.54;;8.10;8.66;9.29;;10.63;;12.12;;;;;;;;;;;;;;;
B;1400;;;;;;;;;;;;;;4.13;4.61;5.15;5.82;6.48;7.13;7.76;8.39;9.01;9.73;;10.44;11.13;11.92;;13.52;;15.25;;;;;;;;;;;;;;;
B;1500;;;;;;;;;;;;;;4.33;4.84;5.41;6.12;6.81;7.49;8.16;8.82;9.46;10.22;;10.95;11.67;12.48;;14.12;;15.86;;;;;;;;;;;;;;;
B;1700;;;;;;;;;;;;;;4.72;5.28;5.91;6.68;7.44;8.18;8.91;9.61;10.30;11.11;;11.89;12.64;13.49;;15.16;;16.87;;;;;;;;;;;;;;;
B;1800;;;;;;;;;;;;;;4.90;5.49;6.14;6.95;7.73;8.50;9.25;9.98;10.69;11.51;;12.31;13.07;13.93;;15.60;;17.26;;;;;;;;;;;;;;;
B;2500;;;;;;;;;;;;;;5.93;6.66;7.46;8.43;9.36;10.24;11.09;11.89;12.64;13.49;;14.26;14.95;15.66;;;;;;;;;;;;;;;;;;;
B;2900;;;;;;;;;;;;;;6.33;7.10;7.95;8.97;9.92;10.82;11.65;12.41;13.11;13.85;;14.48;;;;;;;;;;;;;;;;;;;;;
B;3000;;;;;;;;;;;;;;6.40;7.18;8.04;9.06;10.02;10.90;11.72;12.47;13.14;13.84;;;;;;;;;;;;;;;;;;;;;;;
B;3500;;;;;;;;;;;;;;6.62;7.42;8.29;9.30;10.20;11.01;11.70;12.29;;;;;;;;;;;;;;;;;;;;;;;;;
C;100;;;;;;;;;;;;;;;;;;;;1.08;1.18;1.29;1.41;;1.54;1.67;1.81;1.97;2.12;2.32;2.48;2.68;2.88;3.08;3.33;3.58;;;;;;;;;;
C;150;;;;;;;;;;;;;;;;;;;;1.52;1.68;1.83;2.01;;2.19;2.38;2.59;2.81;3.04;3.33;3.55;3.85;4.14;4.43;4.79;5.15;;;;;;;;;;
C;200;;;;;;;;;;;;;;;;;;;;1.94;2.14;2.34;2.58;;2.82;3.05;3.33;3.62;3.91;4.30;4.58;4.96;5.34;5.72;6.19;6.65;;;;;;;;;;
C;400;;;;;;;;;;;;;;;;;;;;3.45;3.83;4.20;4.65;;5.09;5.53;6.05;6.59;7.13;7.85;8.38;9.08;9.78;10.47;11.33;12.18;;;;;;;;;;
C;600;;;;;;;;;;;;;;;;;;;;4.79;5.33;5.86;6.50;;7.13;7.76;8.49;9.26;10.03;11.04;11.79;12.78;13.75;14.72;15.90;17.07;;;;;;;;;;
C;700;;;;;;;;;;;;;;;;;;;;5.40;6.02;6.63;7.36;;8.08;8.80;9.63;10.51;11.38;12.52;13.37;14.48;15.58;16.66;17.98;19.28;;;;;;;;;;
C;750;;;;;;;;;;;;;;;;;;;;5.70;6.35;7.00;7.78;;8.54;9.30;10.18;11.11;12.02;13.23;14.12;15.29;16.45;17.58;18.97;20.32;;;;;;;;;;
C;900;;;;;;;;;;;;;;;;;;;;6.54;7.31;8.06;8.96;;9.85;10.73;11.74;12.81;13.87;15.24;16.26;17.59;18.89;20.15;21.69;23.18;;;;;;;;;;
C;1000;;;;;;;;;;;;;;;;;;;;7.07;7.90;8.73;9.71;;10.67;11.62;12.72;13.87;15.01;16.49;17.57;18.99;20.36;21.70;23.31;24.85;;;;;;;;;;
C;1400;;;;;;;;;;;;;;;;;;;;8.91;9.98;11.04;12.29;;13.51;14.70;16.06;17.47;18.83;20.58;21.83;23.42;24.92;26.32;27.93;29.36;;;;;;;;;;
C;1500;;;;;;;;;;;;;;;;;;;;9.29;10.42;11.53;12.83;;14.10;15.34;16.74;18.19;19.59;21.36;22.63;24.21;25.69;27.04;28.56;29.88;;;;;;;;;;
C;1700;;;;;;;;;;;;;;;;;;;;9.98;11.20;12.39;13.78;;15.13;16.44;17.91;19.41;20.83;22.61;23.84;25.36;26.71;27.90;29.13;30.07;;;;;;;;;;
C;1800;;;;;;;;;;;;;;;;;;;;10.28;11.54;12.77;14.19;;15.57;16.90;18.39;19.90;21.31;23.06;24.26;25.70;26.95;28.01;29.03;;;;;;;;;;;
C;2000;;;;;;;;;;;;;;;;;;;;10.78;12.11;13.39;14.87;;16.29;17.64;19.13;20.61;21.96;23.60;24.67;25.89;26.85;27.55;;;;;;;;;;;;
C;2500;;;;;;;;;;;;;;;;;;;;11.44;12.84;14.17;15.65;;17.02;18.26;19.55;20.72;21.68;22.59;;;;;;;;;;;;;;;;
D;50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.76;1.90;;2.26;;2.66;;3.10;3.53;4.05;4.65;5.32;6.07;6.90;;;
D;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3.22;3.47;;4.15;;4.90;;5.72;6.54;7.51;8.63;9.89;11.30;12.83;;;
D;150;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4.55;4.92;;5.89;;6.96;;8.17;9.34;10.74;12.34;14.15;16.15;18.34;;;
D;200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5.80;6.28;;7.54;;8.94;;10.49;12.00;13.80;15.86;18.17;20.73;23.51;;;
D;300;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8.13;8.82;;10.62;;12.63;;14.81;16.96;19.50;22.39;25.61;29.12;32.88;;;
D;400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10.27;11.15;;13.47;;16.03;;18.81;21.52;24.70;28.29;32.23;36.46;40.89;;;
D;500;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12.26;13.32;;16.11;;19.17;;22.48;25.68;29.40;33.54;38.00;42.66;47.35;;;
D;600;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14.10;15.33;;18.55;;22.06;;25.82;29.44;33.56;38.08;42.81;47.56;52.04;;;
D;750;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;16.60;18.05;;21.83;;25.91;;30.20;34.24;38.72;43.41;48.00;52.09;;;;
D;900;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;18.77;20.41;;24.65;;29.13;;33.74;37.95;42.40;46.71;50.37;;;;;
D;1000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20.03;21.78;;26.24;;30.90;;35.59;39.74;43.93;47.64;;;;;;
D;1200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;22.07;23.97;;28.70;;33.45;;37.93;41.51;;;;;;;;
D;1400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;23.43;25.38;;30.10;;34.52;;38.23;;;;;;;;;
D;1500;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;23.83;25.77;;30.36;;34.45;;;;;;;;;;;
D;1700;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;24.04;25.86;;30.56;;;;;;;;;;;;;
D;1800;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;24.44;25.98;;30.69;;;;;;;;;;;;;
D;1900;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;24.89;26.12;;;;;;;;;;;;;;;
D;2000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;25.15;26.33;;;;;;;;;;;;;;;
E;50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4,06;4,71;5,49;6,38;7,40;8,52;9,76;10,99;12,44;14
E;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7,41;8,64;10,00;11,77;13,66;15,77;18,07;20,34;23,04;25,91
E;150;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10,48;12,25;14,34;16,75;19,46;22,46;25,73;28,95;32,74;36,76
E;200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13,37;15,64;18,49;21,64;25,21;29,17;33,51;37,81;42,91;48,37
E;250;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;16,09;18,85;22,11;25,84;30,01;34,58;39,52;44,30;49,82;55,54
E;300;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;18,68;21,90;25,89;30,01;34,81;40,05;45,66;51,02;57,14;63,34
E;400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;23,46;27,52;32,26;37,62;43,49;49,76;56,31;62,37;68,97;75,21
E;500;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;27,76;32,54;38,06;44,21;50,81;57,67;64,52;70,51;76,44;81,2
E;600;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;31,54;36,91;43,03;49,69;56,63;63,52;69,92;74,88;78,76;85,23
E;700;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;34,80;40,60;47,09;53,94;60,77;67,04;72,08;74,91;80,22;
E;750;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;36,22;42,18;48,75;55,57;62,14;67,83;72,15;75,05;;
E;900;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;39,57;45,71;52,13;58,23;63,17;67,94;;;;
E;1000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;41,00;46,99;52,92;57,97;63,23;;;;;
E;1100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;41,73;47,33;53,05;58,16;;;;;;
E;1200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;41,69;47,52;53,19;;;;;;;
E;1300;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;41,89;47,64;53,27;;;;;;;
E;1400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;42,03;47,79;;;;;;;;
E;1450;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;42,15;47,90;;;;;;;;