Perfil;RPM;1.00/1.01;1.02/1.05;1.06/1.11;1.12/1.18;1.19/1.26;1.27/1.38;1.39/1.57;1.58/1.94;1.95/3.38;mas de 3.39
3V;100;0.00;0.00;0.01;0.01;0.01;0.01;0.01;0.02;0.02;0.02
3V;200;0.00;0.00;0.01;0.02;0.03;0.03;0.04;0.05;0.05;0.06
3V;500;0.00;0.01;0.02;0.03;0.05;0.06;0.06;0.07;0.08;0.08
3V;700;0.00;0.01;0.03;0.05;0.06;0.08;0.09;0.10;0.11;0.12
3V;900;0.00;0.01;0.03;0.06;0.08;0.10;0.12;0.13;0.14;0.15
3V;1000;0.00;0.01;0.04;0.07;0.09;0.11;0.13;0.15;0.16;0.17
3V;1400;0.00;0.02;0.05;0.09;0.13;0.15;0.18;0.20;0.22;0.23
3V;1500;0.00;0.02;0.06;0.10;0.14;0.17;0.19;0.22;0.24;0.25
3V;1700;0.00;0.02;0.07;0.11;0.15;0.19;0.22;0.25;0.27;0.29
3V;1800;0.00;0.03;0.07;0.12;0.16;0.20;0.23;0.26;0.29;0.30
3V;2500;0.00;0.04;0.10;0.17;0.23;0.28;0.32;0.36;0.40;0.42
3V;2900;0.00;0.04;0.11;0.19;0.26;0.32;0.37;0.42;0.46;0.49
3V;3000;0.00;0.04;0.12;0.20;0.27;0.33;0.39;0.44;0.48;0.50
3V;3400;0.00;0.05;0.13;0.23;0.31;0.38;0.44;0.49;0.54;0.57
3V;3600;0.00;0.05;0.14;0.24;0.33;0.40;0.47;0.52;0.57;0.60
3V;4000;0.00;0.06;0.15;0.27;0.36;0.44;0.52;0.58;0.63;0.67
3V;5000;0.00;0.07;0.19;0.33;0.46;0.55;0.65;0.73;0.79;0.84
3V;6000;0.00;0.08;0.23;0.40;0.55;0.66;0.78;0.87;0.95;1.01
5V;100;0.00;0.01;0.02;0.03;0.05;0.06;0.07;0.07;0.08;0.09
5V;200;0.00;0.01;0.04;0.07;0.09;0.11;0.13;0.15;0.16;0.17
5V;500;0.00;0.04;0.10;0.17;0.23;0.28;0.33;0.37;0.41;0.43
5V;700;0.00;0.05;0.14;0.24;0.33;0.40;0.47;0.52;0.57;0.61
5V;900;0.00;0.07;0.18;0.31;0.42;0.51;0.60;0.67;0.73;0.78
5V;1000;0.00;0.07;0.20;0.34;0.47;0.57;0.67;0.75;0.82;0.86
5V;1400;0.00;0.10;0.28;0.48;0.66;0.80;0.93;1.05;1.14;1.21
5V;1500;0.00;0.11;0.30;0.52;0.70;0.85;1.00;1.12;1.22;1.30
5V;1700;0.00;0.12;0.34;0.59;0.80;0.97;1.13;1.27;1.39;1.47
5V;1800;0.00;0.13;0.36;0.62;0.84;1.02;1.20;1.35;1.47;1.56
5V;2000;0.00;0.15;0.40;0.69;0.94;1.14;1.33;1.50;1.63;1.73
5V;2500;0.00;0.18;0.49;0.86;1.17;1.42;1.66;1.87;2.04;2.16
5V;2900;0.00;0.21;0.57;1.00;1.36;1.65;1.93;2.17;2.37;2.51
5V;3000;0.00;0.22;0.59;1.03;1.41;1.71;2.00;2.25;2.45;2.59
5V;3500;0.00;0.25;0.69;1.21;1.64;1.99;2.33;2.62;2.86;3.03
5V;3600;0.00;0.26;0.71;1.24;1.69;2.05;2.40;2.70;2.94;3.11
5V;4000;0.00;0.29;0.79;1.38;1.88;2.27;2.66;3.00;3.27;3.46
5V;4600;0.00;0.33;0.91;1.59;2.16;2.62;3.06;3.45;3.76;3.98
8V;50;0.00;0.02;0.05;0.09;0.13;0.16;0.18;0.21;0.22;0.24
8V;100;0.00;0.04;0.11;0.19;0.26;0.31;0.37;0.41;0.45;0.47
8V;150;0.00;0.06;0.16;0.28;0.39;0.47;0.55;0.62;0.67;0.71
8V;200;0.00;0.08;0.22;0.38;0.52;0.62;0.73;0.82;0.90;0.95
8V;300;0.00;0.12;0.32;0.57;0.77;0.94;1.10;1.24;1.35;1.42
8V;400;0.00;0.16;0.43;0.76;1.03;1.25;1.46;1.65;1.79;1.90
8V;500;0.00;0.20;0.54;0.94;1.29;1.56;1.83;2.06;2.24;2.37
8V;600;0.00;0.24;0.65;1.13;1.55;1.87;2.19;2.47;2.69;2.85
8V;750;0.00;0.30;0.81;1.42;1.93;2.34;2.74;3.09;3.36;3.56
8V;900;0.00;0.36;0.97;1.70;2.32;2.81;3.29;3.71;4.04;4.27
8V;1000;0.00;0.40;1.08;1.89;2.58;3.12;3.66;4.12;4.49;4.75
8V;1200;0.00;0.48;1.30;2.27;3.09;3.75;4.39;4.94;5.38;5.70
8V;1400;0.00;0.56;1.52;2.64;3.61;4.37;5.12;5.77;6.28;6.65
8V;1500;0.00;0.60;1.62;2.83;3.87;4.68;5.49;6.18;6.73;7.12
8V;1700;0.00;0.68;1.84;3.21;4.38;5.31;6.22;7.00;7.62;8.07
8V;1800;0.00;0.72;1.95;3.40;4.64;5.62;6.58;7.41;8.07;8.55
8V;1900;0.00;0.76;2.06;3.59;4.90;5.93;6.95;7.83;8.52;9.02
8V;2000;0.00;0.79;2.17;3.78;5.15;6.24;7.32;8.24;8.97;9.50